source,target,repository,weight,forks,issues,size,languages
torvalds,laruence,"linux",60003,21987,209,2203183,"C"
torvalds,QuincyLarson,"linux",60003,21987,209,2203183,"C"
torvalds,fxsjy,"linux",60003,21987,209,2203183,"C"
torvalds,ladyada,"linux",60003,21987,209,2203183,"C"
JakeWharton,greenrobot,"ActionBarSherlock",7303,3928,91,21244,"Java"
JakeWharton,jgilfelt,"ActionBarSherlock,AndroidSDKSearchExtension",7311,3930,91,22710,"Java,JavaScript"
JakeWharton,kevinsawicki,"ActionBarSherlock,DiskLruCache",11721,4947,112,21660,"Java"
JakeWharton,chrisjenx,"ActionBarSherlock,gradle-android-test-plugin",7641,3985,91,21761,"Java"
JakeWharton,RomainPiel,"ActionBarSherlock",7303,3928,91,21244,"Java"
JakeWharton,ZhaoKaiQiang,"ActionBarSherlock",7303,3928,91,21244,"Java"
JakeWharton,johnkil,"AndroidDesignKeynoteTheme",96,7,0,3563,"null"
JakeWharton,romannurik,"AndroidSDKSearchExtension",8,2,0,1466,"JavaScript"
JakeWharton,nickbutcher,"AndroidSDKSearchExtension",8,2,0,1466,"JavaScript"
JakeWharton,chiuki,"AndroidSDKSearchExtension",8,2,0,1466,"JavaScript"
JakeWharton,emilsjolander,"butterknife",21369,4192,85,3609,"Java"
JakeWharton,kymjs,"butterknife",21369,4192,85,3609,"Java"
JakeWharton,PhilJay,"butterknife",21369,4192,85,3609,"Java"
JakeWharton,pyricau,"butterknife",21369,4192,85,3609,"Java"
ruanyf,phodal,"articles",398,136,0,2666,"null"
ruanyf,onevcat,"articles",398,136,0,2666,"null"
ruanyf,soffes,"articles",398,136,0,2666,"null"
ruanyf,steipete,"articles",398,136,0,2666,"null"
ruanyf,ashfurrow,"articles",398,136,0,2666,"null"
ruanyf,sunnyxx,"articles",398,136,0,2666,"null"
ruanyf,jessesquires,"articles",398,136,0,2666,"null"
ruanyf,modocache,"articles",398,136,0,2666,"null"
ruanyf,avdi,"articles",398,136,0,2666,"null"
ruanyf,chriseidhof,"articles",398,136,0,2666,"null"
ruanyf,andymatuschak,"articles",398,136,0,2666,"null"
ruanyf,halfrost,"articles",398,136,0,2666,"null"
ruanyf,skyline75489,"articles",398,136,0,2666,"null"
ruanyf,yulingtianxia,"articles",398,136,0,2666,"null"
ruanyf,robb,"articles",398,136,0,2666,"null"
ruanyf,Raynos,"articles",398,136,0,2666,"null"
ruanyf,supermarin,"articles",398,136,0,2666,"null"
ruanyf,mubix,"ditto",5,2,0,9855,"JavaScript"
tj,technoweenie,"assert",18,1,0,9,"Go"
tj,ianstormtaylor,"assert,bind",33,1,2,169,"Go,Ruby"
tj,Caged,"asset",119,9,9,220,"JavaScript"
tj,brentvatne,"auth",2,1,0,115,"Go"
tj,xtaci,"auth",2,1,0,115,"Go"
tj,bradfitz,"aws",32,3,1,8,"Go"
tj,josephmisiti,"aws",32,3,1,8,"Go"
tj,avdi,"aws",32,3,1,8,"Go"
tj,jgm,"aws",32,3,1,8,"Go"
tj,jwiegley,"aws",32,3,1,8,"Go"
tj,vmg,"backoff",4,1,0,15,"Go"
tj,MarisaKirisame,"bind",15,0,2,160,"Ruby"
tj,JacksonTian,"co",9774,666,44,437,"JavaScript"
tj,ericelliott,"co",9774,666,44,437,"JavaScript"
tj,sahat,"co",9774,666,44,437,"JavaScript"
tj,dead-horse,"co",9774,666,44,437,"JavaScript"
tj,rsms,"co",9774,666,44,437,"JavaScript"
tj,iliakan,"co",9774,666,44,437,"JavaScript"
tj,leeluolee,"co",9774,666,44,437,"JavaScript"
tj,benjamn,"co",9774,666,44,437,"JavaScript"
yyx990803,addyosmani,"angular.js",3,1,0,72821,"JavaScript"
yyx990803,RubyLouvre,"angular.js",3,1,0,72821,"JavaScript"
