user,repository,stars,forks,issues,size,language
torvalds,libdc-for-dirk,20,14,0,2357,C
torvalds,linux,59129,21746,206,2162259,C
torvalds,pesconvert,94,8,2,17,C
torvalds,subsurface-for-dirk,54,22,0,88775,C++
torvalds,test-tlb,142,43,2,19,C
torvalds,uemacs,224,22,5,438,C
JakeWharton,abs.io,7,1,0,108,JavaScript
JakeWharton,ActionBarSherlock,7308,3938,91,21244,Java
JakeWharton,ActionBarSherlock-Gradle-Sample,53,15,1,42,Groovy
JakeWharton,ActionBarSherlock-Plugin-Maps,94,43,0,279,Java
JakeWharton,ActivityCompat2,76,9,0,433,Java
JakeWharton,adjacent-fragment-pager-sample,224,35,0,419,Java
JakeWharton,Android-DirectionalViewPager,1023,439,2,1293,Java
JakeWharton,Android-MapForgeFragment,24,14,0,390,Java
JakeWharton,AndroidDesignKeynoteTheme,96,7,0,3563,null
JakeWharton,AndroidSDKSearchExtension,8,2,0,1466,JavaScript
JakeWharton,apibuilder,24,8,0,4850,Java
JakeWharton,AutoValueAnnotations,233,8,0,11,Shell
JakeWharton,BreakoutWallpaper,14,6,0,250,Java
JakeWharton,butterknife,21177,4169,81,3605,Java
JakeWharton,byteunits,125,4,3,282,Java
JakeWharton,CoroutinasaurusRx,140,3,0,0,null
JakeWharton,dalvik-dx,49,2,0,1411,Shell
JakeWharton,dex-method-list,504,26,2,246,Kotlin
JakeWharton,DiskLruCache,4376,1007,21,416,Java
JakeWharton,DocBrown,25,2,0,121,Java
JakeWharton,domainr-java,5,2,1,264,Java
JakeWharton,double-espresso,359,41,0,11899,Java
JakeWharton,DrawerBehavior,880,62,20,95,Java
JakeWharton,EffectiveOpenSource,57,5,0,1162,JavaScript
JakeWharton,flip-tables,448,50,5,125,Java
JakeWharton,github-deploy-maven-plugin,7,2,0,249,Java
JakeWharton,gms-mvn-install,66,29,0,154,Shell
JakeWharton,gradle-android-test-plugin,339,57,0,517,Java
JakeWharton,guiceymongo-generator-maven-plugin,2,0,0,4048,Java
JakeWharton,HanselAndGretel,168,60,2,1243,Java
ruanyf,articles,396,134,0,2594,null
ruanyf,css-modules-demos,294,79,0,251,JavaScript
ruanyf,ditto,5,2,0,9855,JavaScript
ruanyf,document-style-guide,2690,708,0,30,null
tj,archive,0,0,0,17,Go
tj,archivex,3,1,1,33,Go
tj,assert,18,1,0,9,Go
tj,assert-equal-jsx,6,1,0,3,JavaScript
tj,asset,120,9,9,220,JavaScript
tj,auth,2,1,0,115,Go
tj,aws,32,3,1,8,Go
tj,axon,1311,145,36,663,JavaScript
tj,axon-msgpack,12,0,1,112,JavaScript
tj,axon-rpc,94,12,4,252,JavaScript
tj,backoff,4,1,0,15,Go
tj,base64,1,2,0,69,JavaScript
tj,better-assert,244,19,5,11,JavaScript
tj,bind,15,0,2,160,Ruby
tj,bins,71,4,0,88694,Go
tj,bm,179,30,6,179,Shell
tj,browserid,2,0,0,8944,JavaScript
tj,burl,127,15,0,137,Shell
tj,callsite,201,11,6,176,JavaScript
tj,cdescent,17,1,0,178,C
tj,chan,1,0,0,108,JavaScript
tj,channel.js,135,7,1,7,JavaScript
tj,Chipmunk-js,3,0,0,288,JavaScript
tj,cipherhub.sh,35,3,0,223,Shell
tj,client-sha1,2,0,0,73,JavaScript
tj,client-user,1,0,0,72,JavaScript
tj,co,9692,653,44,437,JavaScript
tj,co-aws,30,12,3,72,JavaScript
tj,co-exec,45,5,4,137,JavaScript
tj,co-fs,104,14,7,181,JavaScript
yyx990803,angular.js,3,0,0,72821,JavaScript
yyx990803,awesome,6,6,0,333,null
yyx990803,babel,2,2,0,32257,JavaScript
yyx990803,babel-loader,2,1,0,482,JavaScript
yyx990803,babel-plugin-coverage,17,0,0,57,JavaScript
yyx990803,babel-plugin-transform-es2015-classes-simple,5,1,0,7,JavaScript
yyx990803,babel-preset-es2015-rollup-vue,1,0,0,5,JavaScript
yyx990803,babel-preset-flow-vue,11,0,1,0,JavaScript
yyx990803,babel-snabbdom-jsx,0,0,0,11,JavaScript
yyx990803,benchmark,0,0,0,3708,JavaScript
yyx990803,blaze-local-state,2,0,0,124,JavaScript
yyx990803,brooklynjs.github.io,1,0,0,2587,JavaScript
yyx990803,browser-audio,17,2,0,130,JavaScript
yyx990803,buble,26,6,3,812,JavaScript
yyx990803,buble-loader,0,1,0,6,JavaScript
yyx990803,capper,10,1,0,93,JavaScript
yyx990803,casperjs,1,0,0,80,JavaScript
yyx990803,choreo.js,3,2,0,121,JavaScript
yyx990803,circular-json-es6,73,5,0,8,JavaScript
yyx990803,classList.js,0,0,0,82,JavaScript
