Id,Label,timeset,componentnumber,modularity_class,Authority,Hub,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
torvalds,torvalds,,0,0,0.000464,0.000464,1,6,7,0.271774,0.286658,0,0.005457
laruence,laruence,,0,0,0.000795,0.000795,0.333333,7,7,0.288364,0.306639,148.367369,0.009536
QuincyLarson,QuincyLarson,,0,0,0.015747,0.015747,0.095385,31,6,0.360759,0.394444,4553.493235,0.110025
fxsjy,fxsjy,,0,0,0.001335,0.001335,0.163636,9,6,0.306561,0.328031,771.957372,0.015395
ladyada,ladyada,,0,0,0.000464,0.000464,1,6,7,0.271774,0.286658,0,0.005457
JakeWharton,JakeWharton,,0,1,0.004351,0.004351,0.395604,36,5,0.319865,0.346043,507.319034,0.044717
greenrobot,greenrobot,,0,1,0.003854,0.003854,0.307692,28,6,0.314338,0.340214,527.073216,0.039719
jgilfelt,jgilfelt,,0,1,0.004549,0.004549,0.333333,35,6,0.32559,0.352105,836.604541,0.048733
kevinsawicki,kevinsawicki,,0,1,0.091864,0.091864,0.24472,591,5,0.412247,0.462846,11685.98647,0.582871
chrisjenx,chrisjenx,,0,1,0.013037,0.013037,0.244318,129,6,0.353598,0.391189,2686.902914,0.121713
RomainPiel,RomainPiel,,0,1,0.005911,0.005911,0.311688,72,6,0.330371,0.360994,773.446413,0.066588
ZhaoKaiQiang,ZhaoKaiQiang,,0,19,0.014658,0.014658,0.257971,267,5,0.368852,0.410624,3165.766695,0.159931
johnkil,johnkil,,0,19,0.00077,0.00077,0.333333,1,6,0.286817,0.303684,3.251958,0.011512
romannurik,romannurik,,0,1,0.002231,0.002231,0.217949,17,6,0.301481,0.32616,459.629071,0.029497
nickbutcher,nickbutcher,,0,1,0.00038,0.00038,0.7,7,6,0.25668,0.27232,2.136724,0.007462
chiuki,chiuki,,0,1,0.000834,0.000834,0.333333,7,6,0.280973,0.299688,89.564016,0.012364
emilsjolander,emilsjolander,,0,1,0.013147,0.013147,0.228261,63,5,0.347138,0.379396,1362.63984,0.109057
kymjs,kymjs,,0,1,0.002612,0.002612,0.439394,29,5,0.311362,0.335517,144.30798,0.037632
PhilJay,PhilJay,,0,1,0.010104,0.010104,0.250712,88,5,0.35789,0.39115,1808.962042,0.106717
pyricau,pyricau,,0,1,0.008123,0.008123,0.3,36,5,0.332039,0.36039,768.699081,0.06686
ruanyf,ruanyf,,0,26,0.007593,0.007593,0.888889,136,5,0.33848,0.366452,1964.260071,0.094373
phodal,phodal,,0,26,0.011742,0.011742,0.297348,157,5,0.371739,0.408538,4349.71066,0.134121
